iteration,group,FNR
0,AfricanAmerican,1.0
0,Asian,1.0
0,Caucasian,1.0
0,Hispanic,1.0
0,Other,1.0
0,Unknown,1.0
1,AfricanAmerican,1.0
1,Asian,1.0
1,Caucasian,1.0
1,Hispanic,1.0
1,Other,1.0
1,Unknown,1.0
2,AfricanAmerican,1.0
2,Asian,1.0
2,Caucasian,1.0
2,Hispanic,1.0
2,Other,1.0
2,Unknown,1.0
3,AfricanAmerican,1.0
3,Asian,1.0
3,Caucasian,1.0
3,Hispanic,1.0
3,Other,1.0
3,Unknown,1.0
4,AfricanAmerican,1.0
4,Asian,1.0
4,Caucasian,1.0
4,Hispanic,1.0
4,Other,1.0
4,Unknown,1.0
5,AfricanAmerican,1.0
5,Asian,1.0
5,Caucasian,1.0
5,Hispanic,1.0
5,Other,1.0
5,Unknown,1.0
6,AfricanAmerican,1.0
6,Asian,1.0
6,Caucasian,1.0
6,Hispanic,1.0
6,Other,1.0
6,Unknown,1.0
7,AfricanAmerican,1.0
7,Asian,1.0
7,Caucasian,1.0
7,Hispanic,1.0
7,Other,1.0
7,Unknown,1.0
8,AfricanAmerican,1.0
8,Asian,1.0
8,Caucasian,1.0
8,Hispanic,1.0
8,Other,1.0
8,Unknown,1.0
9,AfricanAmerican,1.0
9,Asian,1.0
9,Caucasian,1.0
9,Hispanic,1.0
9,Other,1.0
9,Unknown,1.0
10,AfricanAmerican,1.0
10,Asian,1.0
10,Caucasian,1.0
10,Hispanic,1.0
10,Other,
10,Unknown,1.0
11,AfricanAmerican,1.0
11,Asian,
11,Caucasian,1.0
11,Hispanic,1.0
11,Other,
11,Unknown,1.0
12,AfricanAmerican,1.0
12,Asian,
12,Caucasian,1.0
12,Hispanic,
12,Other,
12,Unknown,
13,AfricanAmerican,
13,Asian,
13,Caucasian,1.0
13,Hispanic,
13,Other,
13,Unknown,
14,AfricanAmerican,
14,Asian,
14,Caucasian,1.0
14,Hispanic,
14,Other,
14,Unknown,
15,AfricanAmerican,
15,Asian,
15,Caucasian,
15,Hispanic,
15,Other,
15,Unknown,
16,AfricanAmerican,
16,Asian,
16,Caucasian,
16,Hispanic,
16,Other,
16,Unknown,
17,AfricanAmerican,
17,Asian,
17,Caucasian,
17,Hispanic,
17,Other,
17,Unknown,
18,AfricanAmerican,
18,Asian,
18,Caucasian,
18,Hispanic,
18,Other,
18,Unknown,
19,AfricanAmerican,
19,Asian,
19,Caucasian,
19,Hispanic,
19,Other,
19,Unknown,
20,AfricanAmerican,
20,Asian,
20,Caucasian,
20,Hispanic,
20,Other,
20,Unknown,
21,AfricanAmerican,
21,Asian,
21,Caucasian,
21,Hispanic,
21,Other,
21,Unknown,
22,AfricanAmerican,
22,Asian,
22,Caucasian,
22,Hispanic,
22,Other,
22,Unknown,
23,AfricanAmerican,
23,Asian,
23,Caucasian,
23,Hispanic,
23,Other,
23,Unknown,
24,AfricanAmerican,
24,Asian,
24,Caucasian,
24,Hispanic,
24,Other,
24,Unknown,
